Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Due Date,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Outward issue link (Cloners),Outward issue link (Cloners),Outward issue link (Duplicate),Inward issue link (Finish-to-Finish link (WBSGantt)),Inward issue link (Finish-to-Finish link (WBSGantt)),Outward issue link (Finish-to-Finish link (WBSGantt)),Outward issue link (Finish-to-Finish link (WBSGantt)),Outward issue link (Finish-to-Finish link (WBSGantt)),Inward issue link (Finish-to-Start link (WBSGantt)),Inward issue link (Hierarchy link (WBSGantt)),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Activity Class),Custom field (Activity Type),Custom field (Biomica Delivery),Custom field (Budget),Custom field (Budget 2),Custom field (CRISPRIL WP),Custom field (Crispr Delivery),Custom field (DevOps Platform),Custom field (EVGN Description),Custom field (End date),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Experiment Name),Custom field (Lavie project),Custom field (Maturity Level),Custom field (Planned End),Custom field (Planned Start),Custom field (Priority),Custom field (Product),Custom field (Rank),Sprint
Genome page main UI - Droplist Annotations: Pathway (MetaCYC),MIC-855,47900,,Task,Closed,MIC,MicroBoost,software,larisar,,,Medium,,hodayam,larisar,larisar,16/05/2023 06:52,24/05/2023 07:59,12/09/2023 13:19,,30/06/2023 00:00,elanitec,larisar,,,,,,,,,;22/May/23 11:36 AM;hodayam;28800,;24/May/23 7:41 AM;hodayam;28800,,,,,,,,,,,,,,,,,,,,,,,,57600,0,57600,100%,57600,0,57600,MIC-751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIC-760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool,Development,,P265 - Product- MB (Microboost 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,MIC-720,,,,,,,,,MicroBoost,0|i0139j:,01/05/2023
Genome page main UI -  Droplist AntiSmash,MIC-759,41215,,Task,Closed,MIC,MicroBoost,software,larisar,,,Medium,,hodayam,larisar,larisar,05/02/2023 14:59,29/05/2023 15:00,12/09/2023 13:19,,06/07/2023 00:00,duduz,elanitec,larisar,liorr,,,,,,,;16/May/23 8:21 AM;hodayam;28800,;17/May/23 5:38 AM;hodayam;28800,;21/May/23 6:49 AM;hodayam;28800,;21/May/23 6:49 AM;hodayam;28800,;29/May/23 3:00 PM;duduz;57600,,,,,,,,,,,,,,,,,,,,,288000,115200,172800,60%,288000,115200,172800,MIC-758,MIC-751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool,Development,,P265 - Product- MB (Microboost 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,MIC-720,,,,,,,,,MicroBoost,0|i0109b:,01/05/2023
Active Search - output modifications,CHEM-709,48709,,Task,Closed,CHEM,ChemPass,software,michalslu,,,Medium,,hodayam,hamutal.e,hamutal.e,24/05/2023 12:53,30/05/2023 09:50,12/09/2023 13:19,,06/06/2023 00:00,boazm,hamutal.e,,,,,,,,,;29/May/23 9:18 AM;hodayam;28800,;30/May/23 9:49 AM;hodayam;3600,,,,,,,,,,,,,,,,,,,,,,,,57600,25200,32400,56%,57600,25200,32400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool,Development,,P264 - Product-CP (Chempass 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CHEM-708,,,,,,,,,ChemPass,0|i013nr:,01/05/2023
Genome page main UI - Droplist Annotations: Interpro,MIC-764,41220,,Task,Closed,MIC,MicroBoost,software,larisar,,,Medium,,hodayam,larisar,larisar,05/02/2023 15:10,31/05/2023 06:13,12/09/2023 13:19,,16/06/2023 00:00,drorf,elanitec,larisar,,,,,,,,;28/May/23 6:57 AM;hodayam;28800,;31/May/23 6:13 AM;hodayam;28800,,,,,,,,,,,,,,,,,,,,,,,,57600,0,57600,100%,57600,0,57600,MIC-751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/Feb/23 3:58 PM;larisar;screenshot-1.png;https://jira.prod.evogene.host/secure/attachment/43924/screenshot-1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool,Development,,P265 - Product- MB (Microboost 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,MIC-720,,,,,,,,,MicroBoost,0|i010af:,01/05/2023
Microboost UI modifications,CPB-989,49002,,Task,Closed,CPB,CPB,software,drorf,,,Medium,,hodayam,duduz,duduz,29/05/2023 07:48,31/05/2023 06:18,12/09/2023 13:19,,31/05/2023 00:00,duduz,,,,,,,,,,;31/May/23 6:18 AM;hodayam;28800,,,,,,,,,,,,,,,,,,,,,,,,,28800,0,28800,100%,28800,0,28800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P271 - CPB Upkeep Computational (2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,,,,,,,,,,CPB,0|i013qf:,01/05/2023
Genome page main UI - Droplist Annotations: GO TERMS,MIC-784,42713,,Task,Closed,MIC,MicroBoost,software,larisar,,,Medium,,hodayam,larisar,larisar,23/02/2023 15:28,05/06/2023 06:12,12/09/2023 13:19,,28/06/2023 00:00,drorf,elanitec,larisar,,,,,,,,;05/Jun/23 6:12 AM;hodayam;28800,,,,,,,,,,,,,,,,,,,,,,,,,57600,28800,28800,50%,57600,28800,28800,MIC-751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/Feb/23 4:04 PM;larisar;screenshot-1.png;https://jira.prod.evogene.host/secure/attachment/43926/screenshot-1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool,Development,,P265 - Product- MB (Microboost 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,MIC-720,,,,,,,,,MicroBoost,0|i010wn:,01/05/2023
De novo design - RA score prediction - UI (cloned),CHEM-695,48607,,Task,Closed,CHEM,ChemPass,software,michalslu,,,Medium,,hodayam,hamutal.e,hamutal.e,23/05/2023 14:09,25/06/2023 05:40,12/09/2023 13:19,,30/06/2023 00:00,hamutal.e,,,,,,,,,,;21/Jun/23 8:40 AM;hodayam;28800,,,,,,,,,,,,,,,,,,,,,,,,,86400,57600,28800,33%,86400,57600,28800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHEM-725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/Jun/23 1:14 PM;hamutal.e;RA_Score_UI.pptx;https://jira.prod.evogene.host/secure/attachment/51910/RA_Score_UI.pptx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool,Development,,P264 - Product-CP (Chempass 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CHEM-633,,,,,,,,,ChemPass,0|i013jb:,01/06/2023
t-SNE tool development - UI (cloned),CHEM-701,48613,,Task,Closed,CHEM,ChemPass,software,michalslu,,,Medium,,hodayam,hamutal.e,hamutal.e,23/05/2023 15:04,28/06/2023 09:32,12/09/2023 13:19,,15/06/2023 00:00,boazm,hamutal.e,,,,,,,,,;15/Jun/23 7:28 AM;hodayam;28800,;15/Jun/23 7:28 AM;hodayam;28800,;18/Jun/23 5:46 AM;hodayam;25200,;21/Jun/23 8:41 AM;hodayam;28800,;21/Jun/23 8:41 AM;hodayam;28800,;27/Jun/23 5:49 AM;hodayam;28800,;27/Jun/23 5:49 AM;hodayam;14400,,,,,,,,,,,,,,,,,,,144000,0,183600,127%,144000,0,183600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14/Jun/23 8:19 AM;hamutal.e;example.tsv;https://jira.prod.evogene.host/secure/attachment/51401/example.tsv,14/Jun/23 8:19 AM;hamutal.e;template.tsv;https://jira.prod.evogene.host/secure/attachment/51400/template.tsv,06/Jun/23 4:31 PM;hamutal.e;t-sne_UI.pptx;https://jira.prod.evogene.host/secure/attachment/50806/t-sne_UI.pptx,13/Jun/23 9:44 AM;hamutal.e;t-sne_UI_v2.pptx;https://jira.prod.evogene.host/secure/attachment/51303/t-sne_UI_v2.pptx,21/Jun/23 7:24 AM;hamutal.e;t-sne_UI_v3.pptx;https://jira.prod.evogene.host/secure/attachment/52008/t-sne_UI_v3.pptx,,,,,,,,,,,,,,,,,,,,,,,,,Tool,Development,,P264 - Product-CP (Chempass 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CHEM-699,,,,,,,,,ChemPass,0|i013kn:,01/06/2023
Modify ProductionQA script for batch and overall monitoring,CPB-974,48402,,Task,Closed,CPB,CPB,software,drorf,,,Medium,,hodayam,duduz,duduz,21/05/2023 12:53,03/07/2023 07:43,12/09/2023 13:19,,07/06/2023 00:00,duduz,elanitec,larisar,,,,,,,,;04/Jun/23 6:20 AM;hodayam;25200,;05/Jun/23 6:13 AM;hodayam;28800,;07/Jun/23 4:58 AM;hodayam;28800,;07/Jun/23 4:58 AM;hodayam;28800,;08/Jun/23 11:38 AM;hodayam;28800,;11/Jun/23 7:49 AM;hodayam;25200,;27/Jun/23 5:51 AM;hodayam;25200,;27/Jun/23 5:51 AM;hodayam;18000,;29/Jun/23 5:57 AM;hodayam;28800,;29/Jun/23 5:57 AM;hodayam;28800,,,,,,,,,,,,,,,,144000,0,266400,185%,144000,0,266400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPB-1025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool Support,Development,,P279 - CPB projects Computational (CPB 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CPB-996,,,,,,,,,CPB,0|i013cn:,01/06/2023
Focused PointHit / Standalone mode - UI,CHEM-728,50713,,Task,Closed,CHEM,ChemPass,software,michalslu,,,Medium,,hodayam,hamutal.e,hamutal.e,20/06/2023 13:40,09/07/2023 09:41,12/09/2023 13:19,,31/07/2023 00:00,hamutal.e,,,,,,,,,,;03/Jul/23 6:30 AM;hodayam;28800,;09/Jul/23 9:41 AM;hodayam;3600,,,,,,,,,,,,,,,,,,,,,,,,57600,25200,32400,56%,57600,25200,32400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/Jun/23 4:21 PM;hamutal.e;FocusedPointHit-StandaloneMode_v2.pptx;https://jira.prod.evogene.host/secure/attachment/52731/FocusedPointHit-StandaloneMode_v2.pptx,03/Jul/23 9:55 PM;hamutal.e;image-2023-07-04-00-55-27-274.png;https://jira.prod.evogene.host/secure/attachment/53106/image-2023-07-04-00-55-27-274.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P264 - Product-CP (Chempass 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CHEM-708,,,,,,,,,ChemPass,0|i014jr:,01/07/2023
t-SNE tool - Corrections after QA,CHEM-726,50711,,Task,Closed,CHEM,ChemPass,software,michalslu,,,Medium,,hodayam,hamutal.e,hamutal.e,20/06/2023 13:27,12/07/2023 16:46,12/09/2023 13:19,,14/07/2023 00:00,hamutal.e,,,,,,,,,,;03/Jul/23 11:04 AM;hodayam;18000,,,,,,,,,,,,,,,,,,,,,,,,,57600,39600,18000,31%,57600,39600,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/Jun/23 1:27 PM;hamutal.e;example.tsv;https://jira.prod.evogene.host/secure/attachment/51912/example.tsv,06/Jul/23 12:49 PM;hamutal.e;image-2023-07-06-15-49-56-883.png;https://jira.prod.evogene.host/secure/attachment/53306/image-2023-07-06-15-49-56-883.png,06/Jul/23 12:53 PM;hamutal.e;image-2023-07-06-15-53-19-727.png;https://jira.prod.evogene.host/secure/attachment/53307/image-2023-07-06-15-53-19-727.png,20/Jun/23 1:27 PM;hamutal.e;template.tsv;https://jira.prod.evogene.host/secure/attachment/51913/template.tsv,02/Jul/23 10:52 AM;hamutal.e;tsne_input_preparation_1sheet_tsv_dos_format.tsv;https://jira.prod.evogene.host/secure/attachment/53002/tsne_input_preparation_1sheet_tsv_dos_format.tsv,02/Jul/23 10:52 AM;hamutal.e;tsne_input_preparation_1sheet_tsv_fixed_format_unix_format.tsv;https://jira.prod.evogene.host/secure/attachment/53001/tsne_input_preparation_1sheet_tsv_fixed_format_unix_format.tsv,20/Jun/23 1:27 PM;hamutal.e;t-sne_UI.pptx;https://jira.prod.evogene.host/secure/attachment/51914/t-sne_UI.pptx,21/Jun/23 7:29 AM;hamutal.e;t-sne_UI_v3.pptx;https://jira.prod.evogene.host/secure/attachment/52009/t-sne_UI_v3.pptx,,,,,,,,,,,,,,,,,,,,,,,Development,,P264 - Product-CP (Chempass 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CHEM-699,,,,,,,,,ChemPass,0|i014jb:,01/07/2023
Modifications in Active search UI (Fingerprints and similarity metric options) ,CHEM-749,53000,,Task,Closed,CHEM,ChemPass,software,michalslu,,,Medium,,hodayam,hamutal.e,hamutal.e,18/07/2023 09:34,26/07/2023 09:30,12/09/2023 13:19,,31/07/2023 00:00,hamutal.e,,,,,,,,,,;23/Jul/23 6:45 AM;hodayam;28800,,,,,,,,,,,,,,,,,,,,,,,,,28800,0,28800,100%,28800,0,28800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26/Jul/23 9:27 AM;hamutal.e;ActiveSearch_fp_and_metric_options_final_26072023.pptx;https://jira.prod.evogene.host/secure/attachment/54600/ActiveSearch_fp_and_metric_options_final_26072023.pptx,18/Jul/23 9:33 AM;hamutal.e;ActiveSearch_fp_and_metric_options_final.pptx;https://jira.prod.evogene.host/secure/attachment/54000/ActiveSearch_fp_and_metric_options_final.pptx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P264 - Product-CP (Chempass 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CHEM-708,,,,,,,,,ChemPass,0|i0157z:,01/07/2023
Strain name/production name conversion table accessed via Biomica's dashboard - UI,MIC-942,53413,,Task,Closed,MIC,MicroBoost,software,larisar,,,Medium,,hodayam,elanitec,elanitec,24/07/2023 13:22,27/07/2023 07:33,12/09/2023 13:19,,27/07/2023 00:00,elanitec,,,,,,,,,,;25/Jul/23 11:06 AM;hodayam;18000,,,,,,,,,,,,,,,,,,,,,,,,,57600,39600,18000,31%,57600,39600,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIC-944,MIC-943,,,,,,,,,,,,,MIC-919,,,,,,,,,,,,,,,,,,,,24/Jul/23 1:48 PM;elanitec;MicrosoftTeams-image (6).png;https://jira.prod.evogene.host/secure/attachment/54437/MicrosoftTeams-image+%286%29.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P271 - CPB Upkeep Computational (2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,MIC-742,,,,,,,,,MicroBoost,0|i015kn:,01/07/2023
Modify ProductionQA script for batch and overall monitoring - Jul,CPB-1025,51900,,Task,Closed,CPB,CPB,software,drorf,,,Medium,,hodayam,duduz,duduz,03/07/2023 07:43,30/07/2023 06:03,12/09/2023 13:19,,31/07/2023 00:00,duduz,,,,,,,,,,;05/Jul/23 7:08 AM;hodayam;10800,;11/Jul/23 6:52 AM;hodayam;28800,;11/Jul/23 6:52 AM;hodayam;21600,;17/Jul/23 11:41 AM;hodayam;28800,;17/Jul/23 11:41 AM;hodayam;28800,;17/Jul/23 11:41 AM;hodayam;28800,;30/Jul/23 6:00 AM;hodayam;28800,;30/Jul/23 6:00 AM;hodayam;28800,;30/Jul/23 6:00 AM;hodayam;28800,;30/Jul/23 6:03 AM;hodayam;86400,,,,,,,,,,,,,,,,86400,0,320400,370%,86400,0,320400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPB-974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Development,,P279 - CPB projects Computational (CPB 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CPB-996,,,,,,,,,CPB,0|i0152n:,01/07/2023
Dev support and upkeep (Hodaya) - Jul,CPB-1027,52300,,Task,Closed,CPB,CPB,software,drorf,,,Medium,,hodayam,duduz,duduz,09/07/2023 06:34,01/08/2023 06:34,12/09/2023 13:19,,31/07/2023 00:00,duduz,,,,,,,,,,elastic search learning;30/Jul/23 6:05 AM;hodayam;28800,elastic search learning;30/Jul/23 6:05 AM;hodayam;10800,;31/Jul/23 8:46 AM;hodayam;28800,;31/Jul/23 8:47 AM;hodayam;28800,,,,,,,,,,,,,,,,,,,,,,86400,0,97200,112%,86400,0,97200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPB-1057,,,CPB-946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Development,,P271 - CPB Upkeep Computational (2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,,,,,,,,,,CPB,0|i0153z:,01/07/2023
Genome page main UI - Droplist cluster,MIC-753,41209,,Task,Closed,MIC,MicroBoost,software,larisar,,,Medium,,hodayam,larisar,larisar,05/02/2023 12:41,14/08/2023 15:09,12/09/2023 13:19,,04/04/2023 00:00,elanitec,larisar,,,,,,,,,;23/Apr/23 6:08 AM;hodayam;18000,;23/Apr/23 12:02 PM;hodayam;21600,;25/Apr/23 5:51 AM;hodayam;28800,,,,,,,,,,,,,,,,,,,,,,,86400,18000,68400,79%,86400,18000,68400,MIC-751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIC-970,,,,,,,,MIC-971,MIC-761,,,,,,,,,,,29/Mar/23 4:02 AM;larisar;screenshot-1.png;https://jira.prod.evogene.host/secure/attachment/46002/screenshot-1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool,Development,,P265 - Product- MB (Microboost 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,MIC-720,,,,,,,,,MicroBoost,0|i0107z:,01/04/2023
Modifications in t-SNE app UI - fingerprints and similarity metric options,CHEM-753,53111,,Task,Closed,CHEM,ChemPass,software,michalslu,,,Medium,,hodayam,hamutal.e,hamutal.e,19/07/2023 14:30,15/08/2023 07:45,12/09/2023 13:19,,31/08/2023 00:00,boazm,hamutal.e,,,,,,,,,;14/Aug/23 6:13 AM;hodayam;28800,;14/Aug/23 6:28 AM;hodayam;10800,,,,,,,,,,,,,,,,,,,,,,,,28800,0,39600,137%,28800,0,39600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30/Jul/23 3:23 PM;hamutal.e;t-sne_UI_updated.pptx;https://jira.prod.evogene.host/secure/attachment/54812/t-sne_UI_updated.pptx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P264 - Product-CP (Chempass 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CHEM-708,,,,,,,,,ChemPass,0|i015b3:,01/08/2023
Modifications in clustering app UI - fingerprints and similarity metric options,CHEM-751,53109,,Task,Closed,CHEM,ChemPass,software,michalslu,,,Medium,,hodayam,hamutal.e,hamutal.e,19/07/2023 14:20,15/08/2023 19:14,12/09/2023 13:19,,31/08/2023 00:00,hamutal.e,,,,,,,,,,;15/Aug/23 7:14 PM;hodayam;28800,,,,,,,,,,,,,,,,,,,,,,,,,28800,0,28800,100%,28800,0,28800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14/Aug/23 12:05 PM;hamutal.e;ui_updated_fp_sim_metric_082023.pptx;https://jira.prod.evogene.host/secure/attachment/56007/ui_updated_fp_sim_metric_082023.pptx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P264 - Product-CP (Chempass 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CHEM-708,,,,,,,,,ChemPass,0|i015an:,01/08/2023
Active Search - fingerprints and similarity metric options - Modifications after QA QA,CHEM-777,54804,,Task,Closed,CHEM,ChemPass,software,michalslu,,,Medium,,hodayam,hamutal.e,hamutal.e,10/08/2023 14:41,23/08/2023 13:33,12/09/2023 13:19,,17/08/2023 00:00,hamutal.e,,,,,,,,,,;14/Aug/23 6:11 AM;hodayam;10800,,,,,,,,,,,,,,,,,,,,,,,,,14400,0,10800,75%,14400,0,10800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/Aug/23 2:40 PM;hamutal.e;ActiveSearch_fp_and_metric_options_final_07082023.pptx;https://jira.prod.evogene.host/secure/attachment/55819/ActiveSearch_fp_and_metric_options_final_07082023.pptx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P264 - Product-CP (Chempass 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CHEM-708,,,,,,,,,ChemPass,0|i01667:,01/08/2023
RESEQ/SAUCE UI - Dev,MIC-913,50904,,Task,Closed,MIC,MicroBoost,software,larisar,,,Medium,,hodayam,elanitec,elanitec,21/06/2023 10:58,27/08/2023 08:21,12/09/2023 13:19,,24/07/2023 00:00,elanitec,larisar,,,,,,,,,;04/Jul/23 7:22 AM;hodayam;10800,;05/Jul/23 7:08 AM;hodayam;18000,;09/Jul/23 7:31 AM;hodayam;14400,;09/Jul/23 7:31 AM;hodayam;28800,,,,,,,,,,,,,,,,,,,,,,144000,72000,72000,50%,144000,72000,72000,,,,,,,,,,,,MIC-987,MIC-914,,,,,,,,,,,,,,,,MIC-968,,,MIC-910,,,,,,,,,,,MIC-987,MIC-914,,,,,,,MIC-916,,,,,,,,,,,,21/Jun/23 10:58 AM;elanitec;accessory.xlsx;https://jira.prod.evogene.host/secure/attachment/52113/accessory.xlsx,21/Jun/23 10:58 AM;elanitec;enz.bed;https://jira.prod.evogene.host/secure/attachment/52114/enz.bed,21/Jun/23 10:58 AM;elanitec;evocog_annotation_v2.bed;https://jira.prod.evogene.host/secure/attachment/52115/evocog_annotation_v2.bed,21/Jun/23 10:58 AM;elanitec;evoops.bed;https://jira.prod.evogene.host/secure/attachment/52116/evoops.bed,21/Jun/23 10:58 AM;elanitec;freebayes_filtered_norm_without_Ns.vcf;https://jira.prod.evogene.host/secure/attachment/52117/freebayes_filtered_norm_without_Ns.vcf,21/Jun/23 10:58 AM;elanitec;functions.csv;https://jira.prod.evogene.host/secure/attachment/52118/functions.csv,21/Jun/23 10:58 AM;elanitec;interpro5.bed;https://jira.prod.evogene.host/secure/attachment/52119/interpro5.bed,21/Jun/23 10:58 AM;elanitec;interpro7.bed;https://jira.prod.evogene.host/secure/attachment/52120/interpro7.bed,21/Jun/23 10:58 AM;elanitec;ko_annotation.bed;https://jira.prod.evogene.host/secure/attachment/52121/ko_annotation.bed,21/Jun/23 1:11 PM;elanitec;Pseudomonas_ISID49762_20v1_2.snps.xlsx;https://jira.prod.evogene.host/secure/attachment/52141/Pseudomonas_ISID49762_20v1_2.snps.xlsx,21/Jun/23 10:58 AM;elanitec;Pseudomonas_ISID49762_20v1.xfa;https://jira.prod.evogene.host/secure/attachment/52122/Pseudomonas_ISID49762_20v1.xfa,21/Jun/23 10:58 AM;elanitec;Pseudomonas_ISID49762_20v1.xfa.fai;https://jira.prod.evogene.host/secure/attachment/52123/Pseudomonas_ISID49762_20v1.xfa.fai,21/Jun/23 10:58 AM;elanitec;reseq.log;https://jira.prod.evogene.host/secure/attachment/52124/reseq.log,21/Jun/23 1:55 PM;elanitec;RESEQ-SAUCE-strain comparison tab.pptx;https://jira.prod.evogene.host/secure/attachment/52147/RESEQ-SAUCE-strain+comparison+tab.pptx,21/Jun/23 10:58 AM;elanitec;sample_tree.nwk;https://jira.prod.evogene.host/secure/attachment/52125/sample_tree.nwk,,,,,,,,,,,,,,,,Development,,P265 - Product- MB (Microboost 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,MIC-909,,,,,,,,,MicroBoost,0|i014l3:,01/07/2023
